LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QA 491 .H55 1994,7158,"Hilton, Peter John","Hilton, Peter John;Pedersen, Jean",10734,Monograph,Learning Commons,Activity,,,,,175 p. : ill. ; 28 cm.,,text,,020149096X,9.78E+12,020149096X,QA 491 .H55 1994,94123332,"Menlo Park, Calif.",c1994,1994,Addison-Wesley;Innovative Learning Publications,,Available,Origami;Paper work;Polyhedra - Models,Build your own polyhedra,
TJ 211 .B63 1997,8515,"Bohm, Harry","Bohm, Harry;Jensen, Vickie;Johnston, Nola",17327,Monograph,Learning Commons,Activity,,,,,150 p. : ill. ; 22 X 29 cm.,,text,,968161006,9.78E+12,968161006,,,Vancouver,c1997,1997,Westcoast Words,,Available,Submersibles - Design and construction - Juvenile literature;Underwater exploration - Juvenile literature;Robotics,Build your own underwater robot and other wet projects,
TA 634 .H37 1994,8774,"Haslam, Andrew","Haslam, Andrew;Glover, David;Barnes, Jon",18648,Monograph,Learning Commons,Activity,,,,,48 p. : col. ill. ; 28 cm.,,text,,1568472595 :,9.78E+12,1568472595,TA 634 .H37 1994,94001478,New York,1994,1994,Thomson Learning,,Available,Structural engineering - Juvenile literature;Structural engineering - Experiments;Experiments,Building,
TA 634 .W54 1995,119,"Wilkinson, Philip","Wilkinson, Philip;King, Dave;Dann, Geoff",279,Monograph,Learning Commons,General,,,,,61 p. : col. ill. ; 29 cm.,1st American ed.,text,,679872566,9.78E+12,679872566,TA 634 .W54 1995,94037733,New York,1995,1995,Alfred A. Knopf,,Available,Structural engineering - Juvenile literature;Building materials - Juvenile literature;Structural engineering;House construction;Building materials,Building,
TH 846 .M24 2000,20160,"Macaulay, David","Macaulay, David",20160,Monograph,Learning Commons,General,,,,,"192 p. : col. ill., maps ; 29 cm.",,text,Learning Commons,395963311,9.78E+12,395963311,TH 846 .M24 2000,28116,Boston,2000,2000,Houghton Mifflin,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big,
TH 846 .M24 2000,8382,"Macaulay, David","Macaulay, David",16271,Monograph,Learning Commons,General,,,,,"192 p. : col. ill., maps ; 29 cm.",,text,,395963311,9.78E+12,395963311,TH 846 .M24 2000,28116,Boston,2000,2000,Houghton Mifflin,,Available,Architecture;Structural engineering;Building;Structures (Architecture),Building big,
HN 49 .C6 K73 1993,2983,"Kretzmann, John P","Kretzmann, John P;McKnight, John",2121,Monograph,Learning Commons,General,,"Northwestern University (Evanston, Ill.). Institute for Policy Research;Asset-Based Community Development Institute",,,376 p. : ill. ; 28 cm.,,text,,087946108X,9.78E+12,087946108X,,,"Evanston, Ill. : Chicago, IL",c1993,1993,"The Asset-Based Community Development Institute, Institute for Policy Research, Northwestern University ;;Distributed by ACTA Publications",,Available,"Community development, Urban - Citizen participation;Urban renewal - United States - Citizen participation;Community organization;Community power",Building communities from the inside out : a path toward finding and mobilizing a community's assets,
TL 759.5 .B45 1995,184,"Belsky, Nancy Ann","Belsky, Nancy Ann",2338,Monograph,Learning Commons,Activity,,,,,65 p. : ill. ; 28 cm.,,text,,866519181,9.78E+12,866519181,,,"Palo Alto, Calif.",1995,1995,Dale Seymour Publications,,Available,Kites - Design and construction;Mathematics - Juvenile literature;Kites - Experiments - Juvenile literature,Building kites : flying high with math,
QA 139 .P65 1985,2958,"Pollard, Jeanne","Pollard, Jeanne",2958,Monograph,Learning Commons,Act-nonc,,,,,28 p. : ill. ; 28 cm.,,text,Learning Commons,866512667,9.78E+12,866512667,QA 139 .P65 1985,,"Palo Alto, Calif.",c1985,1985,Dale Seymour Publications,,Non-Circulating,Mathematics - Study and teaching (Elementary);Bridges - Design and construction,Building toothpick bridges,
QA 139 .P65 1985,21674,"Pollard, Jeanne","Pollard, Jeanne",21674,Monograph,Learning Commons,Activity,,,,,28 p. : ill. ; 28 cm.,,text,Learning Commons,866512667,9.78E+12,866512667,QA 139 .P65 1985,,"Palo Alto, Calif.",c1985,1985,Dale Seymour Publications,,Available,Mathematics - Study and teaching (Elementary);Bridges - Design and construction,Building toothpick bridges,
