LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QC 981.3 .C53 2006,21337,"Clarke, Catriona","Clarke, Catriona;Chen, Kuo Kang",21337,Monograph,Learning Commons,General,,,,,32 p. : col. ill. ; 22 cm.,,text,Learning Commons,9780794512538 (trade bdg.),9.78E+12,794512534,QC 981.3 .C53 2006,,"London : [Tulsa, Okla.",c2006,2006,Usborne ;;EDC],,Available,Weather - Juvenile literature;Meteorology - Juvenile literature;Weather;Meteorology,Weather,
QL 949 .L26 2002,21336,"Land, Michael F","Land, Michael F;Nilsson, Dan-Eric",21336,Monograph,Learning Commons,General,,,,,"xii, 221 p. : ill. ; 25 cm.",,text,Learning Commons,0198509685 (pbk.),9.78E+12,198509685,QL 949 .L26 2002,2001036500,New York,2002,2002,Oxford University Press,,Available,Eye;Vision,Animal eyes,
Q 181 .L872 2012,21335,"Lowery, Lawrence F","Lowery, Lawrence F",21335,Monograph,Learning Commons,Activity,,,,,"xxxv,  537 p. : ill. ; cm.",Rev. 2nd ed.,text,Learning Commons,9.78E+12,9.78E+12,1936959097,Q 181 .L872 2012,2012002282,"Arlington, Va.",2012,2012,NSTA Press,,Available,"Science - Study and teaching (Secondary) - Handbooks, manuals, etc;Science - Study and teaching (Elementary) - Handbooks, manuals, etc",The everyday science sourcebook : ideas for teaching in elementary and middle school,
QA 39.2 .L390 1993,21331,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21331,Monograph,Learning Commons,Activity,,,,,64 p. : ill. ; 28 cm.,Rev. ed.,text,Learning Commons,918932963,9.78E+12,918932963,QA 39.2 .L390 1993,,"Hayward, Calif.","c1981,1993",1981,Activity Resources,,Available,Mathematics - Study and teaching (Elementary);Problem solving - Study and teaching (Elementary),Solid sense in mathematics : problem solving level 1,
QA 39.2 .L392 1993,21332,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21332,Monograph,Learning Commons,Activity,,,,,64 p. : ill. ; 28 cm.,,text,Learning Commons,091893298X,9.78E+12,091893298X,QA 39.2 .L392 1993,,"Hayward, Calif.","c1981, 1993",1981,Activity Resources,,Available,Mathematics - Study and teaching;Problem solving - Study and teaching,Solid sense in mathematics : problem solving level 3,
QA 39.2 .L391 1993,21334,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21334,Monograph,Learning Commons,Activity,,,,,v.2  : ill. ; 28 cm.,Rev.,text,Learning Commons,0918932971 (v. 2),9.78E+12,918932971,QA 39.2 .L391 1993,,"Hayward, Calif.",1993,1993,Activity Resources,,Available,Mathematics - Study and teaching;Problem solving,Solid sense in mathematics : problem solving level 2,Problem solving
GA 145 .K66 1996,21326,"Koonz, John","Koonz, John",21326,Monograph,Learning Commons,Activity,,,,,"64 p. : ill., maps ; 28 cm.",,text,Learning Commons,,,,GA 145 .K66 1996,,"Austin, Tex.?",c1996,1996,John Koonz,,Available,"Landforms;Relief models - Handbooks, manuals, etc",Geoblox : topographic landform models,"Topographic landform models, Geoblox"
GA 145 .K667 1999,21329,"Koonz, John","Koonz, John",21329,Monograph,Learning Commons,Activity,,,,,"45 p. : ill., maps ; 28 cm.",,text,Learning Commons,,,,GA 145 .K667 1999,,"Austin, Tex.?",c1999,1999,John Koonz,,Available,"Landforms;Relief models - Handbooks, manuals, etc",Geoblox : more topographic landform models,"More topographic landform models, Geoblox"
QE 28.3 .K665 2006,21348,"Koonz, John","Koonz, John",21348,Monograph,Learning Commons,Activity,,,,,69 p. : ill. ; 28 cm.,,text,Learning Commons,,,,QE 28.3 .K665 2006,,"Austin, Tex.",c2006,2006,John Koonz,,Available,Historical geology - Study and teaching - Activity programs;Evolution - Study and teaching - Activity programs;Models and modelmaking;Teaching - Aids and devices,Geoblox : historical geology & evolution block models,Geoblox historical geology and evolution block models;Historical geology & evolution
QA 462 .B66,21347,"Brownlee, Juanita","Brownlee, Juanita",21347,Monograph,Learning Commons,Activity,,,,,63 p. ; 27 cm. ; 4 col. puzzle pieces,,text,Learning Commons,,,,QA 462 .B66 1975,,"Hayward, Calif.",1975,1975,Activity Resources,,Available,Geometry - Study and teaching,Tangram geometry in metric,
QA 462 .B66,21344,"Brownlee, Juanita","Brownlee, Juanita",21344,Monograph,Learning Commons,Act-nonc,,,,,63 p. ; 27 cm. ; 4 col. puzzle pieces,,text,Learning Commons,,,,QA 462 .B66 1975,,"Hayward, Calif.",1975,1975,Activity Resources,,Non-Circulating,Geometry - Study and teaching,Tangram geometry in metric,
QL 767 .S74 2008,21346,"Stebbins, Robert C","Stebbins, Robert C;Ipsen, D. C;Gillfillan, Gretchen",21346,Monograph,Learning Commons,Activity,,,,,"xxv, 174 p. : ill. ; 28 cm.",New ed. / revised by Judy Diamond and Judy Scotchmoor.,text,Learning Commons,9.78E+12,9.78E+12,1933531290,QL 767 .S74 2008,2008007215,"Arlington, Va.",c2008,2008,National Science Teachers Association,,Available,Animals - Color,Animal coloration : activities on the evolution of concealment,
QL 767 .S74 2008,21588,"Stebbins, Robert C","Stebbins, Robert C;Ipsen, D. C;Gillfillan, Gretchen",21588,Monograph,Learning Commons,Act-nonc,,,,,"xxv, 174 p. : ill. ; 28 cm.",New ed. / revised by Judy Diamond and Judy Scotchmoor.,text,Learning Commons,9.78E+12,9.78E+12,1933531290,QL 767 .S74 2008,2008007215,"Arlington, Va.",c2008,2008,National Science Teachers Association,,Non-Circulating,Animals - Color,Animal coloration : activities on the evolution of concealment,
Q 180 .A1 H37 2011,21343,"Harland, Darci J","Harland, Darci J",21343,Monograph,Learning Commons,Activity,,,,,"xxix, 218 p. : ill. ; 28 cm.",,text,Learning Commons,9781936137244 (alk. paper),9.78E+12,1936137240,Q 180 .A1 H37 2011,2011023245,"Arlington, Va.",2011,2011,National Science Teachers Association,,Available,Research - Study and teaching (Secondary),STEM student research handbook,
QB 54 .B388 2000,21341,"Beals, Kevin","Beals, Kevin;Erickson, John;Sneider, Cary Ivan",21341,Monograph,Learning Commons,Activity,,Search for Extraterrestrial Intelligence (Study group : U.S.);Lawrence Hall of Science;GEMS (Project),,,"x, 182 p. : ill. ; 28 cm.",,text,Learning Commons,092488617X,9.78E+12,092488617X,QB 54 .B388 2000,,"Berkeley, CA",c2000,2000,"Lawrence Hall of Science, Univ. of California at Berkeley",,Available,Search for Extraterrestrial Intelligence (Study group : U.S.);Life on other planets - Study and teaching (Middle school);Space sciences - Study and teaching (Middle school);Solar system - Study and teaching (Middle school),Messages from space : the solar system and beyond : teacher's guide,Solar system and beyond
QB 54 .B388 2000,21342,"Beals, Kevin","Beals, Kevin;Erickson, John;Sneider, Cary Ivan",21342,Monograph,Learning Commons,Act-nonc,,Search for Extraterrestrial Intelligence (Study group : U.S.);Lawrence Hall of Science;GEMS (Project),,,"x, 182 p. : ill. ; 28 cm.",,text,Learning Commons,092488617X,9.78E+12,092488617X,QB 54 .B388 2000,,"Berkeley, CA",c2000,2000,"Lawrence Hall of Science, Univ. of California at Berkeley",,Non-Circulating,Search for Extraterrestrial Intelligence (Study group : U.S.);Life on other planets - Study and teaching (Middle school);Space sciences - Study and teaching (Middle school);Solar system - Study and teaching (Middle school),Messages from space : the solar system and beyond : teacher's guide,Solar system and beyond
LB 1589 .K66 2000,21338,"Kopp, Jaine","Kopp, Jaine;Davila, Denise",21338,Monograph,Learning Commons,Activity,,,,,"viii, 136 p. : ill. ; 28 cm.",,text,Learning Commons,924886161,9.78E+12,924886161,LB 1589 .K66 2000,,"Berkeley, Calif.",c2000,2000,"Lawrence Hall of Science, University of California",,Available,"Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Problem solving - Study and teaching (Elementary)",Math on the menu : teacher's guide,
LB 1589 .K66 2000,21340,"Kopp, Jaine","Kopp, Jaine;Davila, Denise",21340,Monograph,Learning Commons,Act-nonc,,,,,"viii, 136 p. : ill. ; 28 cm.",,text,Learning Commons,924886161,9.78E+12,924886161,LB 1589 .K66 2000,,"Berkeley, Calif.",c2000,2000,"Lawrence Hall of Science, University of California",,Non-Circulating,"Mathematics - Study and teaching (Elementary);Mathematics - Problems, exercises, etc;Problem solving - Study and teaching (Elementary)",Math on the menu : teacher's guide,
NA 2555 .M245 2010,22427,"Macaulay, David","Macaulay, David",22427,Monograph,Learning Commons,General,,,,,"272 p. : ill. (chiefly col.), col. map ; 29 cm.",,text,Learning Commons,9780547342405 (lib. bdg.),9.78E+12,547342403,NA 2555 .M245 2010,2011286216,Boston,2010,2010,Houghton Mifflin Books for Children,,Available,Architecture - Juvenile literature;Building - Juvenile literature;Castles - Wales - Design and construction - Juvenile literature;Cathedrals - France - Design and construction - Juvenile literature;Mosques - Turkey - Design and construction - Juvenile literature;Castles - Wales;Cathedrals - France;Mosques - Design and construction,Built to last,
QL 756 .G57 2007,22426,"Gould, James L","Gould, James L;Gould, Carol Grant",22426,Monograph,Learning Commons,General,,,,,"xi, 324 p. : ill. ; 21 cm.",,text,Learning Commons,9.78E+12,9.78E+12,465028381,QL 756 .G57 2007,,New York,"c2007, 2012",2007,Basic Books,,Available,Animals - Habitations;Animal intelligence,Animal architects : building and the evolution of intelligence,
QB 521.4 .B47 2011,22428,"Berman, Bob","Berman, Bob",22428,Monograph,Learning Commons,General,,,10.4,,"viii, 290 pages : illustrations ; 25 cm",First edition.,text,Learning Commons,9.78E+12,9.78E+12,316091014,QB 521.4 .B47 2011,2010044207,New York,"2011, c2011",2011,"Little, Brown and Company",,Available,Sun - Popular works,The sun's heartbeat : and other stories from the life of the star that powers our planet,
QA 535 .V36 2013,22425,"Van Brummelen, Glen","Van Brummelen, Glen",22425,Monograph,Learning Commons,General,,,,,"192 p. : ill. , s. col. ; 25 cm.",,text,Learning Commons,9780691148922 (hardcover : alk. paper),9.78E+12,691148929,QA 535 .V36 2013,2012023216,"Princeton, N.J.",c2013,2013,Princeton University Press,,Available,Spherical trigonometry;Trigonometry,Heavenly mathematics : the forgotten art of spherical trigonometry,
QM 25 .K36 2002,19867,"Kapit, Wynn","Kapit, Wynn;Elson, Lawrence M",19867,Monograph,Learning Commons,Act-nonc,,,,,1 v. (various pagings) : ill. ; 28 cm.,3rd ed.,text,Learning Commons,805350861,9.78E+12,805350861,QM 25 .K36 2002,2001017095,San Francisco,c2002,2002,Benjamin Cummings,,Non-Circulating,"Human anatomy - Atlases;Coloring books;Anatomy, Artistic;Anatomy - Atlases",The anatomy coloring book,
QM 25 .K36 2002,21713,"Kapit, Wynn","Kapit, Wynn;Elson, Lawrence M",21713,Monograph,Learning Commons,Activity,,,,,1 v. (various pagings) : ill. ; 28 cm.,3rd ed.,text,Learning Commons,805350861,9.78E+12,805350861,QM 25 .K36 2002,2001017095,San Francisco,c2002,2002,Benjamin Cummings,,Available,"Human anatomy - Atlases;Coloring books;Anatomy, Artistic;Anatomy - Atlases",The anatomy coloring book,
QB 61 .U85 2011,22050,"Fraknoi, Andrew","Fraknoi, Andrew",22050,DVD,Learning Commons,Gen-nonc,,Astronomical,,,1 optical disc ; 4 3/4 in.,,electronic resource,Learning Commons,1583817797,9.78E+12,1583817797,QB 61 .U85 2011,,"San Francisco, CA",2011,2011,"Project Astro, Astronomical Society of the Pacific",,Non-Circulating,Astronomy - Study and teaching;Science - Study and teaching,The universe at your fingertips 2.0 : a DVD-ROM of astronomy activities and resources,
QB 61 .U85 2011,22051,"Fraknoi, Andrew","Fraknoi, Andrew",22051,DVD,Learning Commons,General,,Astronomical,,,1 optical disc ; 4 3/4 in.,,electronic resource,Learning Commons,1583817797,9.78E+12,1583817797,QB 61 .U85 2011,,"San Francisco, CA",2011,2011,"Project Astro, Astronomical Society of the Pacific",,Available,Astronomy - Study and teaching;Science - Study and teaching,The universe at your fingertips 2.0 : a DVD-ROM of astronomy activities and resources,
QH 362 .V57 2006,21975,"Diamond, Judy","Diamond, Judy;Zimmer, Carl",21975,Monograph,Learning Commons,Activity,,,,,"xxiii, 204 p., 8 p. of plates : ill. (some col.) ; 28 cm.",,text,Learning Commons,873552636,9.78E+12,873552636,QH 362 .V57 2006,2005024464,"Arlington, Va.",c2006,2006,NSTA Press,,Available,Evolution (Biology) - Study and teaching (Middle school);Evolution (Biology) - Study and teaching (Middle school) - Activity programs,Virus and the whale : exploring evolution in creatures small and large,
QH 428 .E84 2007,21976,"Everson, Ted","Everson, Ted",21976,Monograph,Learning Commons,General,,,,,"xviii, 188 p. : ill., map, ports. ; 27 cm.",,text,Learning Commons,9780313334498 (alk. paper),9.78E+12,313334498,QH 428 .E84 2007,2007003661,"Westport, Conn.",2007,2007,Greenwood Press,,Available,Molecular Biology - history;Genetics - History;Molecular genetics - History;Heredity,The gene : a historical perspective,
QH 437.5 .G368 2010,22022,"Gardner, Robert","Gardner, Robert",22022,Monograph,Learning Commons,Act-nonc,,,,,"160 p. : ill., (some col.) ; 25 cm.",Rev. and expanded.,text,Learning Commons,9780766034228 (hbk.),9.78E+12,766034224,QH 437.5 .G368 2010,2009014803,"Berkeley Heights, NJ",c2010,2010,Enslow Publishers,,Non-Circulating,Genetics - Experiments - Juvenile literature;Evolution - Experiments - Juvenile literature;Biology projects - Juvenile literature,Genetics and evolution science fair projects : revised and expanded using the scientific method,
QH 437.5 .G368 2010,21977,"Gardner, Robert","Gardner, Robert",21977,Monograph,Learning Commons,Activity,,,,,"160 p. : ill., (some col.) ; 25 cm.",Rev. and expanded.,text,Learning Commons,9780766034228 (hbk.),9.78E+12,766034224,QH 437.5 .G368 2010,2009014803,"Berkeley Heights, NJ",c2010,2010,Enslow Publishers,,Available,Genetics - Experiments - Juvenile literature;Evolution - Experiments - Juvenile literature;Biology projects - Juvenile literature,Genetics and evolution science fair projects : revised and expanded using the scientific method,
QH 367.1 .P75 2011,21978,"Pringle, Laurence","Pringle, Laurence;Jenkins, Steve;Coyne, Jerry A;Weise, Carla",21978,Monograph,Learning Commons,General,,Boyds Mills Press,,,"102 p. : ill., col. maps, photos (chiefly col.) ; 25 cm.",1st ed.,text,Learning Commons,9781590787236 (hbk.),9.78E+12,1590787234,QH 367.1 .P75 2011,2011920604,"Honesdale, Pa.",c2011,2011,Boyds Mills,,Available,Evolution (Biology) - Juvenile literature;Dinosaurs - Juvenile literature;Animals - Juvenile literature;Natural history - Juvenile literature;Natural selection - Juvenile literature;Fossils - Juvenile literature;Genetics - Juvenile literature;Geology - Juvenile literature;Islands - Juvenile literature;Continents - Juvenile literature;Evolution (Biology);Dinosaurs;Animals,"Billions of years, amazing changes : the story of evolution",Story of evolution
QH 582.5 .C65 2011,21979,"Cohen, Marina","Cohen, Marina",21979,Monograph,Learning Commons,General,,,,,"64 p. : ill. (chiefly col.), ports. ; 25 cm.",,text,Learning Commons,9780778771999 (reinforced library binding : alk. paper),9.78E+12,778771997,QH 582.5 .C65 2011,2010052633,"New York, N.Y.",c2011,2011,Crabtree Pub.,,Available,Cells - Juvenile literature;Cytology - Juvenile literature;Cells;Cytology,What is cell theory?,
QB 983 .R83 2011,21980,"Rubino, Michael","Rubino, Michael",21980,Monograph,Learning Commons,General,,,,,69 p. : ill. ; 26 x 21 cm.,,text,Learning Commons,9781616144722 (pbk. : alk. paper),9.78E+12,1616144726,QB 983 .R83 2011,2011023925,"Amherst, N.Y.",2011,2011,Prometheus Books,,Available,Cosmology - Juvenile literature;Cosmogony - Juvenile literature;Creation - Juvenile literature;Evolution (Biology) - Juvenile literature;Creation - Pictorial works;Cosmology;Cosmogony,Bang! : how we came to be,
QH 431 .C474 2006,21981,"Chiu, Lisa Seachrist","Chiu, Lisa Seachrist;Seachrist, Judith A",21981,Monograph,Learning Commons,General,,,,,"x, 219 p. : ill. ; 22 cm.",,text,Learning Commons,9780195327069 (pbk.),9.78E+12,195327063,QH 431 .C474 2006,2005031803,Oxford ; New York,2006,2006,Oxford University Press,,Available,"Genetics, Medical - Anecdotes;Genetics, Medical - Popular Works;Genome, Human - Anecdotes;Genome, Human - Popular Works;Human genetics - Popular works;Human genetics - Anecdotes",When a gene makes you smell like a fish-- and other tales about the genes in your body,
RB 155.6 .C73 2012,21982,"Holt, Sarah","Holt, Sarah",21982,DVD,Learning Commons,General,,Holt Productions;PBS Distribution (Firm),,,"1 videodisc (60 min.) : sd., col. ; 4 3/4 in.",,videorecording,Learning Commons,9.78E+12,9.78E+12,1608836746,RB 155.6 .C73 2012,,United States,c2012,2012,PBS Distribution,,Available,Genetic disorders - Diagnosis;Human chromosome abnormalities - Diagnosis;Genetic code;Genetic code - Moral and ethical aspects;Genetic Code - ethics;Genetic Phenomena,Cracking your genetic code,Nova (Television program)
QC 3 .M26 1935,11162,"Magie, William Francis","Magie, William Francis",11162,Monograph,Learning Commons,General,,,,,"xiv, 620 p. illus., diagrs. 24 cm.",1st ed.,text,Learning Commons,,,,QC3 .M26 1935,35008094,"New York, London,",1935,1935,McGraw-Hill Book Company,,Available,Physics;Physics - History;Fisica (Historia),"A source book in physics,",
GE 70 .E16 2009,21572,"Wasserman, Pamela","Wasserman, Pamela",21572,DVD,Learning Commons,Activity,,Population Connection,,,1 computer optical disc : col. ; 4 3/4 in.,3rd ed.,electronic resource,Learning Commons,,,,GE 70 .E16 2009,,"Washington, DC",c2009,2009,Population Connection,,Available,Environmental sciences - Study and teaching (Secondary),Earth matters : studies for our global future,
HB 850 .T43 2010,21571,Population Connection,,21571,DVD,Learning Commons,Activity,,Population Connection,,,1 CD-ROM : col. ; 4 3/4 in.,Version 4.0,electronic resource,Learning Commons,,,,HB 850 .T43 2010,,"Washington, DC",c2010,2010,Population Connection,,Available,Population - Study and teaching - Activity programs,Teaching population : hands-on activities,
T 55.3 .H3 T46 1998b,21570,Bureau of Business Practice,,21570,DVD,Learning Commons,General,,Bureau of Business Practice;Kantola Productions,,,"1 videodisc (10 min.) : sd., col. ; 4 3/4in.",,DVD/videorecording,Learning Commons,,,,T 55.3 .H3 T46 1998b,,"Mill Valley, CA",c1998,1998,"Aspen Publishers, Inc., distributed by Kantola Productions",,Available,Chemicals - Safety measures;Hazardous substances - Safety measures;Industrial safety,10 steps to chemical safety,Hazard communication;Ten steps to chemical safety
BD 435 .H556 2006,21431,"Hoke, Jeff","Hoke, Jeff",21431,Monograph,Learning Commons,General,,,,,"xv, 159 p. : ill. (some col.) ; 29 cm. + 7 do-it-yourself models.",,text,Learning Commons,1578633648 (alk. paper),9.78E+12,1578633648,BD 435 .H556 2006,2005055257,"San Francisco, CA",2006,2006,Weiser Books,,Available,Life;Museology,The museum of lost wonder,
QD 38 .R54 O646 2002,20507,"Rohrig, Brian","Rohrig, Brian",20507,Monograph,Learning Commons,Activity,,,,,216 p. : ill. ; 28 cm.,,text,Learning Commons,971848017,9.78E+12,971848017,QD 38 .R54 O646 2002,,"Plain City, Ohio",c2002,2002,FizzBang Science,,Available,Chemistry - Experiments - Juvenile literature,150 more captivating chemistry experiments using household substances,One hundred fifty more captivating chemistry experiments using household substances
QD 38 .R54 O646 2002,20530,"Rohrig, Brian","Rohrig, Brian",20530,Monograph,Learning Commons,Act-nonc,,,,,216 p. : ill. ; 28 cm.,,text,Learning Commons,971848017,9.78E+12,971848017,QD 38 .R54 O646 2002,,"Plain City, Ohio",c2002,2002,FizzBang Science,,Available,Chemistry - Experiments - Juvenile literature,150 more captivating chemistry experiments using household substances,One hundred fifty more captivating chemistry experiments using household substances
LB 1140.5 .S35 C87 2008,21425,,,21425,Monograph,Learning Commons,Activity,,,,,"viii, 135 p. : ill. ; 28 cm.",,text,Learning Commons,9.78E+12,9.78E+12,1883822548,LB 1140.5 .S35 C87 2008,,"Middletown, Ohio",c2008,2008,Terrific Science Press,,Available,"Science - Study and teaching (Preschool);Education, Preschool - Activity programs",Curious crayons : early childhood science in living color,
QD 38 .R54 O64 2002,20508,"Rohrig, Brian","Rohrig, Brian",20508,Monograph,Learning Commons,Activity,,,,,208 p. : ill. ; 28 cm.,Rev. ed.,text,Learning Commons,971848025,9.78E+12,971848025,QD 38 .R54 O64 2002,,"Plain City, Ohio",c2002,2002,FizzBang Science,,Available,Chemistry - Experiments - Juvenile literature,150 captivating chemistry experiments using household substances,One hundred fifty captivating chemistry experiments using household substances
QD 38 .R54 O64 2002,20402,"Rohrig, Brian","Rohrig, Brian",20402,Monograph,Learning Commons,Act-nonc,,,,,208 p. : ill. ; 28 cm.,Rev. ed.,text,Learning Commons,971848025,9.78E+12,971848025,QD 38 .R54 O64 2002,,"Plain City, Ohio",c2002,2002,FizzBang Science,,Available,Chemistry - Experiments - Juvenile literature,150 captivating chemistry experiments using household substances,One hundred fifty captivating chemistry experiments using household substances
LB 1585 .E36 2009,21435,"Eichinger, John","Eichinger, John",21435,Monograph,Learning Commons,Activity,,,,,"vii, 212 p. : ill. ; 28 cm.",,text,Learning Commons,9.78E+12,9.78E+12,1933531428,LB 1585 .E36 2009,2009003257,"Arlington, Va.",c2009,2009,NSTA Press,,Available,Science - Study and teaching (Elementary) - Activity programs;Mathematics - Study and teaching (Elementary) - Activity programs;Interdisciplinary approach in education,"Activities linking science with math, K-4",
Q 183.3 .A1 S56 1982,20692,"Skolnick, Joan","Skolnick, Joan;Langbort, Carol;Day, Lucille",20692,Monograph,Learning Commons,Activity,,,,,"xi, 192 p. : ill. ; 24 cm.",,text,Learning Commons,086651323X (pbk.),9.78E+12,086651323X,Q 183.3 .A1 S56 1982,,"Palo Alto, CA",c1982,1982,Dale Seymour Publications,,Available,Science - Study and teaching;Mathematics - Study and teaching;Women - Education,How to encourage girls in math & science : strategies for parents and educators,
Q 183.3 .A1 S56 1982,20693,"Skolnick, Joan","Skolnick, Joan;Langbort, Carol;Day, Lucille",20693,Monograph,Learning Commons,Act-nonc,,,,,"xi, 192 p. : ill. ; 24 cm.",,text,Learning Commons,086651323X (pbk.),9.78E+12,086651323X,Q 183.3 .A1 S56 1982,,"Palo Alto, CA",c1982,1982,Dale Seymour Publications,,Non-Circulating,Science - Study and teaching;Mathematics - Study and teaching;Women - Education,How to encourage girls in math & science : strategies for parents and educators,
LB 1585 .D43 1980,21389,"DeVito, Alfred","DeVito, Alfred;Krockover, Gerald H",21389,Monograph,Learning Commons,Activity,,,,,"xiii, 306 p. : ill. ; 28 cm.",3rd ed.,text,Learning Commons,0673520080 (pbk.),9.78E+12,673520080,LB 1585 .D43 1980,,"Glenview, Ill.",c1991,1991,"Scott, Foresman",,Available,Science - Study and teaching (Elementary);Science - Experiments,Creative sciencing : ideas and activities for teachers and children,
SB 55 .B74 1990,20755,"Bremner, Elizabeth","Bremner, Elizabeth;Pusey, John;Mabie, Rachel",20755,Monograph,Learning Commons,General,,University of California (System). Cooperative Extension,,,186 p. : ill. ; 22 cm.,2nd ed. /,text,Learning Commons,,,,SB 55 .B74 1990,,"Los Angeles, Calif.",1990,1990,"University of California Cooperative Extension, Common Ground Garden Program",,Available,"Children's gardens - Handbooks, manuals, etc;Children's gardens - California - Los Angeles - Handbooks, manuals, etc","Children's gardens : a field guide for teachers, parents and volunteers",
TL 237 .G33 2010,21947,"Gabrielson, Curt","Gabrielson, Curt",21947,Monograph,Learning Commons,Activity,,,,,"ix, 176 p. : ill. ; 26 cm.",,text,Learning Commons,9781556529573 (pbk.),9.78E+12,1556529570,TL 237 .G33 2010,2009025695,"Chicago, Ill.",c2010,2010,Chicago Review Press,,Available,Ground-effect machines - Models - Juvenile literature;Motor vehicles - Models - Juvenile literature;Airplanes - Models - Juvenile literature;Air-cushion vehicles - Models - Juvenile literature;Motorboats - Models - Juvenile literature,"Kinetic contraptions : build a hovercraft, airboat, and more with a hobby motor",
TL 237 .G33 2010,21948,"Gabrielson, Curt","Gabrielson, Curt",21948,Monograph,Learning Commons,Activity,,,,21:37.2,"ix, 176 p. : ill. ; 26 cm.",,text,Learning Commons,9781556529573 (pbk.),9.78E+12,1556529570,TL 237 .G33 2010,2009025695,"Chicago, Ill.",c2010,2010,Chicago Review Press,,Available,Ground-effect machines - Models - Juvenile literature;Motor vehicles - Models - Juvenile literature;Airplanes - Models - Juvenile literature;Air-cushion vehicles - Models - Juvenile literature;Motorboats - Models - Juvenile literature,"Kinetic contraptions : build a hovercraft, airboat, and more with a hobby motor",
TL 237 .G33 2010,20639,"Gabrielson, Curt","Gabrielson, Curt",20639,Monograph,Learning Commons,Activity,,,,,"ix, 176 p. : ill. ; 26 cm.",,text,Learning Commons,9781556529573 (pbk.),9.78E+12,1556529570,TL 237 .G33 2010,2009025695,"Chicago, Ill.",c2010,2010,Chicago Review Press,,Available,Ground-effect machines - Models - Juvenile literature;Motor vehicles - Models - Juvenile literature;Airplanes - Models - Juvenile literature;Air-cushion vehicles - Models - Juvenile literature;Motorboats - Models - Juvenile literature,"Kinetic contraptions : build a hovercraft, airboat, and more with a hobby motor",
TL 237 .G33 2010,21820,"Gabrielson, Curt","Gabrielson, Curt",21820,Monograph,Learning Commons,Act-nonc,,,,,"ix, 176 p. : ill. ; 26 cm.",,text,Learning Commons,9781556529573 (pbk.),9.78E+12,1556529570,TL 237 .G33 2010,2009025695,"Chicago, Ill.",c2010,2010,Chicago Review Press,,Non-Circulating,Ground-effect machines - Models - Juvenile literature;Motor vehicles - Models - Juvenile literature;Airplanes - Models - Juvenile literature;Air-cushion vehicles - Models - Juvenile literature;Motorboats - Models - Juvenile literature,"Kinetic contraptions : build a hovercraft, airboat, and more with a hobby motor",
QL 125.6 .V65 2005,20952,"Low, Stephen","Low, Stephen;Serapiglia, Pietro L;Low, Alexander;Harris, Ed;Stephen Low Company",20952,DVD,Learning Commons,General,,Rutgers University;Image Entertainment (Firm),,,"1 videodisc (45 min.) : sd., col. ; 4 3/4 in.",Widescreen.,videorecording,Learning Commons,,,,QL 125.6 .V65 2005,,"Chatsworth, CA",[2005],2005,Image Entertainment,,Available,Hydrothermal vent ecology;Volcanoes,Volcanoes of the deep sea,Voyage into the abyss.
QB 46 .B34 2002,21068,"Barnett, Alex","Barnett, Alex;Clark, Stuart (Stuart G.)",21068,Monograph,Learning Commons,General,,,,,96 p. : col. ill. ; 20 cm.,1st American ed.,text,Learning Commons,0789488450 (pbk.),9.78E+12,789488450,QB 46 .B34 2002,2002512062,"New York, NY",2002,2002,DK Pub.,,Available,Astronomy;Black holes (Astronomy);Astronomy - Miscellanea - Juvenile literature;Outer space - Miscellanea,Black holes and other space oddities,
PN 1995.9 .N38 S34 2009,21069,"Painleve, Jean","Painleve, Jean;Hamon, Genevieve;Elmore, Kate;Meierrose, Carola;Vincent-Brechignac, Jean;Derrien, Denis;Perrault, Charles",21069,DVD,Learning Commons,General,,Yo La Tengo (Musical group);Gaumont Franco-Film Aubert (Firm);Cinegraphie Documentaire (Firm);Documents cinematographiques (Firm);Pathe Consortium Cinema;Films Diamant (Firm);Films J.P. (Firm);Institut de Cinematographie Scientifique;Recherches et Images (Firm);Lobster Films (Firm);La Sept (Firm);G.M.T. Productions (Firm);Criterion Collection (Firm),,,"3 videodiscs (471 min.) : si. and sd., b&w and col. 4 3/4 in. + 1 booklet ([24] p. : b&w ill. ; 19 cm.)",,videorecording,Learning Commons,160465144X,9.78E+12,160465144X,PN 1995.9 .N38 S34 2009,,"Irvington, NY",c2009,2009,Criterion Collection,The Criterion collection ;; 468,Available,"Perrault, Charles, 1628-1703 - Film adaptations;Underwater cinematography;Nature;Nature - Songs and music;Nature in motion pictures;Motion picture producers and directors - France - Interviews;Motion picture producers and directors - France - Biography;Wildlife films;Science films",Science is fiction : 23 films by Jean Painleve,Twenty-three films by Jean Painleve;23 films by Jean Painleve
