LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QL 681 .B37 2007,019917,"Bartley, Eddie","Bartley, Eddie;Chambers, Mark",019917,Monograph,Learning Commons,General,,,,,"85 p. : col. ill., col. map ; 21 cm.",,text,Learning Commons,,,,598.0979 F455,,"[San Francisco, Calif.",c2007,2007,Nature Trip],,Available,"Birds - California - San Francisco (Calif.) - Identification;Bird watching - California - San Francisco Bay Area;Ecology - California - San Francisco Bay;Wetlands;Water birds - San Francisco - California - Identification;Heron's Head Park (San Francisco, Calif.)","A field guide to 100 birds of Heron's Head : Islais Creek to Candlestick Point, San Francisco",One hundred birds of Heron's Head;Field guide to one hundred birds of Heron's Head;100 birds of Heron's Head
QL 681 .B37 2007,8962,"Bartley, Eddie","Bartley, Eddie;Chambers, Mark",019916,Monograph,Learning Commons,General,,,,,"85 p. : col. ill., col. map ; 21 cm.",,text,,,,,598.0979 F455,,"[San Francisco, Calif.",c2007,2007,Nature Trip],,Available,"Birds - California - San Francisco (Calif.) - Identification;Bird watching - California - San Francisco Bay Area;Ecology - California - San Francisco Bay;Wetlands;Water birds - San Francisco - California - Identification;Heron's Head Park (San Francisco, Calif.)","A field guide to 100 birds of Heron's Head : Islais Creek to Candlestick Point, San Francisco",One hundred birds of Heron's Head;Field guide to one hundred birds of Heron's Head;100 birds of Heron's Head
TD 367 .S69 1995,3981,"Stapp, William B","Stapp, William B;Mitchell, Mark K",001523,Monograph,Learning Commons,General,,,,,"vii, 335 p. : ill., map ; 23 cm.",1st ed.,text,,,,,,,"Dexter, MI",c1995,1995,Thomson-Shore,,Available,Water quality;Water quality - Measurement;Water quality biological assessment;Water - Pollution - Measurement;Stream ecology,Field manual for global low-cost water quality monitoring,
TD 367 .M58 1995,2938,"Mitchell, Mark K","Mitchell, Mark K;Stapp, William B",002483,Monograph,Learning Commons,Activity,,,,,272 p. : ill. ; 23 cm.,9th ed.,text,,,,,,,"Dexter, Mich.",c1995,1995,Thomson-Shore,,Available,"Water quality - Measurement - Handbooks, manuals, etc;Water quality - Study and teaching;Freshwater ecology - Study and teaching",Field manual for water quality monitoring : an environmental education program for schools,
GC 21.5 .S56 1988b,007916,"Simon, Seymour","Simon, Seymour;Carter, David A",007916,Monograph,Learning Commons,Activity,,,,2012-12-04 16:47:48.900,136 p. : ill. ; 22 cm.,,text,Learning Commons,0397322917,9780397322916,0397322917,551.46/007/8,,"New York, NY",c1988,1988,HarperCollins,,Available,Oceanography - Experiments - Juvenile literature;Seawater - Experiments - Juvenile literature;Water - Experiments - Juvenile literature,How to be an ocean scientist in your own home,
GC 21.5 .S56 1988b,6217,"Simon, Seymour","Simon, Seymour;Carter, David A",007915,Monograph,Learning Commons,Act-nonc,,,,,136 p. : ill. ; 22 cm.,,text,,0397322917,9780397322916,0397322917,551.46/007/8,,"New York, NY",c1988,1988,HarperCollins,,Available,Oceanography - Experiments - Juvenile literature;Seawater - Experiments - Juvenile literature;Water - Experiments - Juvenile literature,How to be an ocean scientist in your own home,
TD224.C3 C3723 2004,8511,"Carle, David","Carle, David",017309,Monograph,Learning Commons,General,,,,,"xv, 261 p. : col. ill., col. maps ; 20 cm.",,text,,0520235800 (alk. paper),9780520235809,0520235800,TD224.C3 C3723 2004,2003061246,Berkeley,c2004,2004,University of California Press,California natural history guides; 76,Available,Water-supply - California;Hydrology - California;Water-supply - California - Management,Introduction to water in California,
GB 661.2 .B35 1999,7716,"Ball, Philip","Ball, Philip",012139,Monograph,Learning Commons,General,,,,,"xii, 417 p. : ill., maps ; 24 cm.",1st ed.,text,,0374186286 (alk.  paper),9780374186289,0374186286,GB 661.2 .B35 1999,99059110,New York,c1999,1999,"Farrar, Straus and Giroux",,Available,Water,Life's matrix : a biography of water,H2O.
TD 487 .C64 1986,3249,"Cole, Joanna","Cole, Joanna;Degen, Bruce",002518,Monograph,Learning Commons,General,,,,,39 p. : col. ill. ; 20 x 24 cm.,,text (large print),,,,,,,New York,c1986,1986,Scholastic Inc.,,Available,"Waterworks - Juvenile literature;Hydrology - Juvenile literature;Waterworks;Frizzle, Ms. (Fictitious character)",The magic school bus at the waterworks,Magic school bus (Television program)
GB 5014 .M44 2006,019372,"Joseph, John","Joseph, John;Martin, J. V;Nelson, Erik",019372,DVD,Learning Commons,General,,New Video Group;Creative Differences Media;Arts and Entertainment Network;History Channel (Firm),,2015-04-27 11:26:36.953,"1 videodisc (ca. 50 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,GB 5014 .M44 2006,,New York,c2006,2006,A & E Home Video ,,Available,Watershed management - California;Disaster films;Documentary television programs;Floods,Mega disasters California's Katrina,Mega disasters (Television program);California's Katrina
